HHuniqueID,score
HH1659b41085,0.55
HH566a73acc0,0.52
HHccb6c83f3d,0.52
HH2f94c20bf2,0.49
HH1bb7bbc664,0.48
HHe8c454dfab,0.48
HH67cc96e24f,0.48
HH127ebc9974,0.47
HH7057883c68,0.47
HH7f0f16440c,0.47
HH3ec1aac9f2,0.46
HH0da405de31,0.46
HHbb2f4465df,0.45
HHcd2530dc33,0.45
HH37cfcdc1e1,0.45
HH5fbe40c17c,0.45
HHc2c60c0c18,0.44
HH6e55bc4e1a,0.44
HHdd7ab8dc96,0.43
HH7832f6974d,0.43
HHd9f4d8677c,0.43
HHb395536c6c,0.43
HH4ffa96cee1,0.43
HH6bc5e432d5,0.43
HH138070ca75,0.43
HHbde6db8d70,0.43
HHc078281c45,0.43
HHd452345a6b,0.43
HH1c3a8cf5f2,0.42
HHad15a796e1,0.42
HHc9b1d48c10,0.42
HH633cc77bfa,0.42
HH3ba7bcae30,0.42
HHa3aa29b7f2,0.42
HHf0dea50f40,0.42
HH24950c7841,0.42
HHccc4bcb00c,0.41
HH1fba1b2f16,0.41
HH1e772cc201,0.41
HHe0e3bbaea2,0.41
HHe787f56b64,0.41
HHf120692c27,0.4
HH161bc4c4c0,0.4
HHc5c1770498,0.39
HH3c795ca637,0.39
HH49df785161,0.39
HH4f58ca91f4,0.39
HHf5a94a9d1c,0.39
HH840291d606,0.39
HH8ece8702d7,0.39
HH02879e1220,0.38
HH4972605e6f,0.38
HHb59454c778,0.38
HH714f3c26a2,0.38
HH1a33226c3d,0.37
HH09a83de3b5,0.37
HHd36c267b6d,0.37
HH4164d57e53,0.37
HHbb5e918101,0.37
HHa069b24baa,0.36
HH909fc7f93c,0.36
HHf9d9ad0277,0.36
HHf91e135f99,0.36
HH7e5d9ebe4d,0.35
HH9011642aff,0.35
HH7b18c36d55,0.35
HHea9a43ceb7,0.34
HH6b8e4fad14,0.34
HH67db67e6df,0.34
HH9b6b093a08,0.34
HHa7235a3f10,0.34
HHf24f259c52,0.34
HHaf46d41b92,0.34
HH314fde17b5,0.34
HH41f40125b9,0.34
HH04c2cc7f3b,0.34
HHec2084f596,0.34
HH5938b7aac3,0.33
HHc892685deb,0.32
HH7f6d4585ad,0.32
HHdb87dc6e7a,0.31
HHdde8e2bbbd,0.31
HH69d287d315,0.31
HH3bd6622469,0.31
HH01a34ca24f,0.31
HHb9f04b59f6,0.31
HHf1eed2cadb,0.31
HHc6179ad5da,0.31
HH9f3f799917,0.31
HHee7a04dd81,0.3
HH55d161df35,0.3
HH37d9a6a708,0.3
HHc47c129a68,0.3
HH22fd5cb8f6,0.3
HHdd47c895cc,0.3
HH723000ae17,0.3
HHeefd6b7d3a,0.3
HHf0b25e587f,0.3
HH6d48cca377,0.29
HHf70acd4c5e,0.29
